ID,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original,original comment
,,15,"Link to demo video is publicly viewable, and the video is 1.5-minutes long (no credit if it is longer than 1.5 minutes).",1,"Link not provided in the submission, retrieved from spreadsheet",9,2,,,"Link not provided in the submission, retrieved from spreadsheet"
,,15,"Link to demo video is publicly viewable, and the video is 1.5-minutes long (no credit if it is longer than 1.5 minutes).",0,Video is a bit too long at _blank_,8,2,,,Video is a bit too long at 1:41
,,15,"Link to demo video is publicly viewable, and the video is 1.5-minutes long (no credit if it is longer than 1.5 minutes).",0,Unmet,1,2,,,Unmet
,,15,"Link to demo video is publicly viewable, and the video is 1.5-minutes long (no credit if it is longer than 1.5 minutes).",0,over time,2,2,,,over time
,,16,Demo video communicates the app at a high level without seeming cluttered.,0,the beginning has too much stuff going on in it,10,2,,,the beginning has too much stuff going on in it
,,17,Demo video sufficiently explains the point of view and project concept with relation to the studio brief.,0,POV and studio brief relation not explicitly mentioned,8,2,,,POV and studio brief relation not explicitly mentioned
,,17,Demo video sufficiently explains the point of view and project concept with relation to the studio brief.,0,No explicit relation to the studio brief,7,2,,,No explicit relation to the studio brief
,,18,Demo video clearly articulates a user need that the app aims to address.,0,User need not articulated,4,2,,,User need not articulated
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,Good work on the _blank_ functionality! Creative idea. Good work all quarter long :),14,1,,,Good work on the drawing functionality! Creative idea. Good work all quarter long :)
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,Great job on an interesting idea!! Good work all quarter :),11,1,,,Great job on an interesting idea!! Good work all quarter :)
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,Good work on getting the main functionality working! It's been great seeing your progress this quarter.,16,1,,,Good work on getting the main functionality working! It's been great seeing your progress this quarter.
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,Good work throughout the quarter!,5,1,,,Good work throughout the quarter!
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,"A nice, polished app. Great work all quarter!",8,1,2,2,"A nice, polished app. Great work all quarter!"
